ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri
193,Sotheby's (Firm),,library of congress name authority file,Sotheby's (Firm),http://id.loc.gov/authorities/names/n84160976
194,Sterling and Francine Clark Art Institute,,library of congress name authority file,Sterling and Francine Clark Art Institute,http://id.loc.gov/authorities/names/n78096939
195,Williams College,,library of congress name authority file,Williams College,http://id.loc.gov/authorities/names/n79056597
204,Something Else Press,,library of congress name authority file,Something Else Press,http://id.loc.gov/authorities/names/n83024327
205,Unpublished Editions (Firm) ,,library of congress name authority file,Unpublished Editions (Firm) ,http://id.loc.gov/authorities/names/no2004000177
206,Field Museum of Natural History,,library of congress name authority file,Field Museum of Natural History,http://id.loc.gov/authorities/names/n79066352
207,New York World's Fair (1939-1940),,library of congress name authority file,New York World's Fair (1939-1940),http://id.loc.gov/authorities/names/n82144169
209,Armand Hammer Museum of Art and Cultural Center,,library of congress name authority file,Armand Hammer Museum of Art and Cultural Center,http://id.loc.gov/authorities/names/nr91027284
210,Art Institute of Chicago,,library of congress name authority file,Art Institute of Chicago,http://id.loc.gov/authorities/names/n78096940
211,Fort Worth Art Center-Museum,,library of congress name authority file,Fort Worth Art Center-Museum,http://id.loc.gov/authorities/names/n80033902
213,Los Angeles County Museum of Art,,library of congress name authority file,Los Angeles County Museum of Art,http://id.loc.gov/authorities/names/n78097041
214,San Francisco Museum of Modern Art,,library of congress name authority file,San Francisco Museum of Modern Art,http://id.loc.gov/authorities/names/n79139490
216,"University of California, Los Angeles. Oral History Program",,library of congress name authority file,"University of California, Los Angeles. Oral History Program",http://id.loc.gov/authorities/names/n50051003
218,Miami International Airport,,library of congress name authority file,Miami International Airport,http://id.loc.gov/authorities/names/n50075033
222,"Real Museo borbonico (Naples, Italy)",,library of congress name authority file,"Real Museo borbonico (Naples, Italy)",http://id.loc.gov/authorities/names/no90024918
225,"Comédie-Italienne (Paris, France)",,library of congress name authority file,"Comédie-Italienne (Paris, France)",http://id.loc.gov/authorities/names/n89642527
226,Teatro della Pergola,,library of congress name authority file,Teatro della Pergola,http://id.loc.gov/authorities/names/n2002074515
227,"Teatro Farnese (Parma, Italy)",,library of congress name authority file,"Teatro Farnese (Parma, Italy)",http://id.loc.gov/authorities/names/n88020905
229,"Teatro regio (Parma, Italy)",,library of congress name authority file,"Teatro regio (Parma, Italy)",http://id.loc.gov/authorities/names/n81141864
230,"Théâtre-Italien (Paris, France)",,library of congress name authority file,"Théâtre-Italien (Paris, France)",http://id.loc.gov/authorities/names/n50079464
232,Wiener Kunstgewerbe-Schule,,library of congress name authority file,Wiener Kunstgewerbe-Schule,http://id.loc.gov/authorities/names/no2006001125
234,Wiener Werkstätte,,library of congress name authority file,Wiener Werkstätte,http://id.loc.gov/authorities/names/n79120906
242,Brücke (Artists' group),,library of congress name authority file,Brücke (Artists' group),http://id.loc.gov/authorities/names/n80128691
243,Neue Künstlervereinigung München,,library of congress name authority file,Neue Künstlervereinigung München,http://id.loc.gov/authorities/names/n84111899
245,Rossiĭskai︠a︡ akademii︠a︡ khudozhestvennykh nauk,,library of congress name authority file,Rossiĭskai︠a︡ akademii︠a︡ khudozhestvennykh nauk,http://id.loc.gov/authorities/names/n87856837
246,Germanisches Nationalmuseum Nürnberg,,library of congress name authority file,Germanisches Nationalmuseum Nürnberg,http://id.loc.gov/authorities/names/n81047063
247,Piper Verlag,,library of congress name authority file,Piper Verlag,http://id.loc.gov/authorities/names/n94078357
249,Sonderbund Westdeutscher Kunstfreunde und Künstler,,library of congress name authority file,Sonderbund Westdeutscher Kunstfreunde und Künstler,http://id.loc.gov/authorities/names/n82256822
252,Kasmin Limited,,,Kasmin Limited,http://id.loc.gov/authorities/names/no2012098570
253,"Bibliotheca Hertziana, Max-Planck-Institut",,library of congress name authority file,"Bibliotheca Hertziana, Max-Planck-Institut",http://id.loc.gov/authorities/names/n84012987
254,Cleveland Museum of Art,,library of congress name authority file,Cleveland Museum of Art,http://id.loc.gov/authorities/names/n78087650
255,"Chiesa della Martorana (Palermo, Italy)",,library of congress name authority file,"Chiesa della Martorana (Palermo, Italy)",http://id.loc.gov/authorities/names/n88232772
256,Duomo di Monreale,,library of congress name authority file,Duomo di Monreale,http://id.loc.gov/authorities/names/n86002542
259,Dumbarton Oaks,,library of congress name authority file,Dumbarton Oaks,http://id.loc.gov/authorities/names/n80061150
261,Centro de Artes Visuales (Instituto Torcuato Di Tella),,library of congress name authority file,Centro de Artes Visuales (Instituto Torcuato Di Tella),http://id.loc.gov/authorities/names/n50062286
262,Bienal Internacional de São Paulo,,library of congress name authority file,Bienal Internacional de São Paulo,http://id.loc.gov/authorities/names/n81126531
263,Jüdisches Museum im Berlin Museum,,library of congress name authority file,Jüdisches Museum im Berlin Museum,http://id.loc.gov/authorities/names/n94053898
264,VKhUTEMAS (Art school) ,,library of congress name authority file,VKhUTEMAS (Art school) ,http://id.loc.gov/authorities/names/n91040072
265,Bantam Books (Firm),,library of congress name authority file,Bantam Books (Firm),http://id.loc.gov/authorities/names/n83120388
266,Bundesarchiv (Germany),,library of congress name authority file,Bundesarchiv (Germany),http://id.loc.gov/authorities/names/n92025526
