ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri,New_ID
453,Pennzoil Company,,library of congress name authority file,Pennzoil Company,http://id.loc.gov/authorities/names/n79094679, 1574
454,Skidmore College,,library of congress name authority file,Skidmore College,http://id.loc.gov/authorities/names/n81063529, 1575
455,Hyde Collection Art Museum,,library of congress name authority file,Hyde Collection Art Museum,http://id.loc.gov/authorities/names/nr2001031831, 1576
463,University of Southern California,,library of congress name authority file,University of Southern California,http://id.loc.gov/authorities/names/n79006531, 1577
467,Denver Art Museum,,library of congress name authority file,Denver Art Museum,http://id.loc.gov/authorities/names/n79055441, 1578
481,Museum Educational Site Licensing Project,,library of congress name authority file,Museum Educational Site Licensing Project,http://id.loc.gov/authorities/names/n98002258, 1579
482,Andrew W. Mellon Foundation,,library of congress name authority file,Andrew W. Mellon Foundation,http://id.loc.gov/authorities/names/n50054057, 1580
483,Library of Congress,,library of congress name authority file,Library of Congress,http://id.loc.gov/authorities/names/n78089035, 1581
484,"University of California, Los Angeles. Fowler Museum of Cultural History",,library of congress name authority file,"University of California, Los Angeles. Fowler Museum of Cultural History",http://id.loc.gov/authorities/names/n91079069, 1582
485,MUSE Film and Television,,library of congress name authority file,MUSE Film and Television,http://id.loc.gov/authorities/names/nr94042756, 1583
486,Harvard University. Art Museums,,library of congress name authority file,Harvard University. Art Museums,http://id.loc.gov/authorities/names/n82241898, 1584
487,"Museum of Fine Arts, Houston",,library of congress name authority file,"Museum of Fine Arts, Houston",http://id.loc.gov/authorities/names/n80120520, 1585
488,National Museum of American Art (U.S.),,library of congress name authority file,National Museum of American Art (U.S.),http://id.loc.gov/authorities/names/n81062959, 1586
489,"American University (Washington, D.C.)",,library of congress name authority file,"American University (Washington, D.C.)",http://id.loc.gov/authorities/names/n79043476, 1587
491,Cornell University,,library of congress name authority file,Cornell University,http://id.loc.gov/authorities/names/n79021621, 1588
492,University of Illinois at Urbana-Champaign,,library of congress name authority file,University of Illinois at Urbana-Champaign,http://id.loc.gov/authorities/names/n79049103, 1589
493,University of Maryland at College Park,,library of congress name authority file,University of Maryland at College Park,http://id.loc.gov/authorities/names/no89012321, 1590
494,University of Michigan,,library of congress name authority file,University of Michigan,http://id.loc.gov/authorities/names/n79021846, 1591
495,University of Virginia,,library of congress name authority file,University of Virginia,http://id.loc.gov/authorities/names/n79053979, 1592
498,Gruen Associates,,library of congress name authority file,Gruen Associates,http://id.loc.gov/authorities/names/n80145270, 1593
503,Maki and Associates,,library of congress name authority file,Maki and Associates,http://id.loc.gov/authorities/names/nr97036942, 1594
505,Venturi Scott Brown and Associates,,library of congress name authority file,Venturi Scott Brown and Associates,http://id.loc.gov/authorities/names/nr92030585, 1595
506,Brown University. . Institute for Research in Information and Scholarship,,library of congress name authority file,Brown University. . Institute for Research in Information and Scholarship,http://id.loc.gov/authorities/names/nr88011961, 1596
513,J. Paul Getty Trust. Public Affairs Department,,library of congress name authority file,J. Paul Getty Trust. Public Affairs Department,http://id.loc.gov/authorities/names/no99013933, 1597
520,Long Beach Museum of Art,,library of congress name authority file,Long Beach Museum of Art,http://id.loc.gov/authorities/names/n50044095, 1598
521,Einsatzstab Reichsleiter Rosenberg für die Besetzten Gebiete,,library of congress name authority file,Einsatzstab Reichsleiter Rosenberg für die Besetzten Gebiete,http://id.loc.gov/authorities/names/n95112083, 1599
523,Kunsthaus Lempertz,,library of congress name authority file,Kunsthaus Lempertz,http://id.loc.gov/authorities/names/n82058500, 1600
524,Stuttgarter Kunstkabinett,,library of congress name authority file,Stuttgarter Kunstkabinett,http://id.loc.gov/authorities/names/nr90011094, 1601
525,Verlag Das Beste GmbH,,library of congress name authority file,Verlag Das Beste GmbH,http://id.loc.gov/authorities/names/n50074892, 1602
526,Ernst Barlach Gesellschaft,,library of congress name authority file,Ernst Barlach Gesellschaft,http://id.loc.gov/authorities/names/n82203853, 1603
529,Galerie Fischer,,library of congress name authority file,Galerie Fischer,http://id.loc.gov/authorities/names/n83227232, 1604
530,"Woman""s Building (Los Angeles, Calif.)",,library of congress name authority file,"Woman""s Building (Los Angeles, Calif.)",http://id.loc.gov/authorities/names/n84184746, 1605
534,Svenska institutet i Athen,,library of congress name authority file,Svenska institutet i Athen,http://id.loc.gov/authorities/names/n50079773, 1606
548,Guerrilla Girls (Group of artists),,library of congress name authority file,Guerrilla Girls (Group of artists),http://id.loc.gov/authorities/names/no94020236, 1607
549,Studio International (Firm),,library of congress name authority file,Studio International (Firm),http://id.loc.gov/authorities/names/no2008030361, 1608
551,Mouvement lettriste,,library of congress name authority file,Mouvement lettriste,http://id.loc.gov/authorities/names/no2009000056, 1609
552,Kunstarchiv Arntz,,library of congress name authority file,Kunstarchiv Arntz,http://id.loc.gov/authorities/names/n81046530, 1610
554,Getty Art History Information Program . Art and Architecture Thesaurus,,library of congress name authority file,Getty Art History Information Program . Art and Architecture Thesaurus,http://id.loc.gov/authorities/names/nr96029598, 1611
555,Répertoire international de la littérature de l’art,,library of congress name authority file,Répertoire international de la littérature de l’art,http://id.loc.gov/authorities/names/n89649170, 1612
556,Architectural Drawings Advisory Group,,library of congress name authority file,Architectural Drawings Advisory Group,http://id.loc.gov/authorities/names/n94023685, 1613
557,Provenance Index of the Getty Art History Information Program,,library of congress name authority file,Provenance Index of the Getty Art History Information Program,http://id.loc.gov/authorities/names/n93024033, 1614
558,Getty Provenance Index,,library of congress name authority file,Getty Provenance Index,http://id.loc.gov/authorities/names/nr00005524, 1615
559,Census of Antique Works of Art and Architecture Known in the Renaissance (Project),,library of congress name authority file,Census of Antique Works of Art and Architecture Known in the Renaissance (Project),http://id.loc.gov/authorities/names/nr2001038001, 1616
568,Jan Baum Gallery,,library of congress name authority file,Jan Baum Gallery,http://id.loc.gov/authorities/names/no2007119576, 1617
569,Jan Baum-Iris Silverman Gallery,,library of congress name authority file,Jan Baum-Iris Silverman Gallery,http://id.loc.gov/authorities/names/n87834367, 1618
573,Getty Information Institute. Vocabulary Program,,library of congress name authority file,Getty Information Institute. Vocabulary Program,http://id.loc.gov/authorities/names/nr98003858, 1619
582,SubGenius Foundation,,library of congress name authority file,SubGenius Foundation,http://id.loc.gov/authorities/names/n83057336, 1620
589,Getty Art History Information Program. Vocabulary Coordination Group,,library of congress name authority file,Getty Art History Information Program. Vocabulary Coordination Group,http://id.loc.gov/authorities/names/nr98011381, 1621
590,"Bush House (London, England)",,,"Bush House (London, England)",http://id.loc.gov/authorities/names/no2016004082, 1622
591,Epinal American Cemetery (France),,,Epinal American Cemetery (France),http://id.loc.gov/authorities/names/no2013033065, 1623
597,Negretti and Zambra,,library of congress name authority file,Negretti and Zambra,http://id.loc.gov/authorities/names/nr88002242, 1624
599,"Smith, Beck, and Beck",,library of congress name authority file,"Smith, Beck, and Beck",http://id.loc.gov/authorities/names/n90720426, 1625
601,California Institute of the Arts,,library of congress name authority file,California Institute of the Arts,http://id.loc.gov/authorities/names/n50058861, 1626
603,Ghémar Frères,,library of congress name authority file,Ghémar Frères,http://id.loc.gov/authorities/names/no2007070950, 1627
613,Museo Vostell de Malpartida de Cáceres,,library of congress name authority file,Museo Vostell de Malpartida de Cáceres,http://id.loc.gov/authorities/names/nr91037882, 1628
625,"J. Laurent y Cia (Madrid, Spain)",,library of congress name authority file,"J. Laurent y Cia (Madrid, Spain)",http://id.loc.gov/authorities/names/no2001033606, 1629
630,Detroit Publishing Co.,,,Detroit Publishing Co.,http://id.loc.gov/authorities/names/n88031098, 1630
632,Reale Fotografia Giacomelli,,,Reale Fotografia Giacomelli,http://id.loc.gov/authorities/names/n99006510, 1631
634,Libreria Spithöver,,library of congress name authority file,Libreria Spithöver,http://id.loc.gov/authorities/names/no2008138700, 1632
640,American Academy in Rome,,library of congress name authority file,American Academy in Rome,http://id.loc.gov/authorities/names/n79032986, 1633
655,Museo nazionale di Napoli,,library of congress name authority file,Museo nazionale di Napoli,http://id.loc.gov/authorities/names/n80044961, 1634
656,Ethnikon Archaiologikon Mouseion (Greece),,library of congress name authority file,Ethnikon Archaiologikon Mouseion (Greece),http://id.loc.gov/authorities/names/n50073408, 1635
657,Galleria degli Uffizi,,library of congress name authority file,Galleria degli Uffizi,http://id.loc.gov/authorities/names/n79007196, 1636
