ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri
1445,"Levine, David",,,"Levine, David",http://id.loc.gov/authorities/names/n83328627
1446,"Lieberman, Ralph",,library of congress name authority file,"Lieberman, Ralph",http://id.loc.gov/authorities/names/n82151877
1448,"Liedtke, Walter A.",,library of congress name authority file,"Liedtke, Walter A.",http://id.loc.gov/authorities/names/n83126917
1449,"Lowenthal, Anne W.",,library of congress name authority file,"Lowenthal, Anne W.",http://id.loc.gov/authorities/names/n80161936
1450,"Logan, Anne-Marie S.",,library of congress name authority file,"Logan, Anne-Marie S.",http://id.loc.gov/authorities/names/n79117348
1453,"Martin, John Rupert",,library of congress name authority file,"Martin, John Rupert",http://id.loc.gov/authorities/names/n79118941
1454,"Martin, Gregory",,library of congress name authority file,"Martin, Gregory",http://id.loc.gov/authorities/names/n50040927
1455,"Mathey, Jacques",,library of congress name authority file,"Mathey, Jacques",http://id.loc.gov/authorities/names/n91076906
1457,"McIntosh, Millicent C.",,library of congress name authority file,"McIntosh, Millicent C.",http://id.loc.gov/authorities/names/n2004116878
1459,"McGrath, Elizabeth",,library of congress name authority file,"McGrath, Elizabeth",http://id.loc.gov/authorities/names/nr97018626
1460,"Meiss, Millard",,library of congress name authority file,"Meiss, Millard",http://id.loc.gov/authorities/names/n50013642
1461,"Mellinkoff, Ruth",,library of congress name authority file,"Mellinkoff, Ruth",http://id.loc.gov/authorities/names/n50007217
1462,"Meulen, Marjon van der",,library of congress name authority file,"Meulen, Marjon van der",http://id.loc.gov/authorities/names/n81015747
1463,"Mielke, Hans",,library of congress name authority file,"Mielke, Hans",http://id.loc.gov/authorities/names/n84066857
1465,"Millen, Ronald",,library of congress name authority file,"Millen, Ronald",http://id.loc.gov/authorities/names/n88105483
1466,"Mongan, Agnes",,library of congress name authority file,"Mongan, Agnes",http://id.loc.gov/authorities/names/n50003772
1468,"Müller Hofstede, Justus",,library of congress name authority file,"Müller Hofstede, Justus",http://id.loc.gov/authorities/names/n82050354
1473,"Novak, Barbara",,library of congress name authority file,"Novak, Barbara",http://id.loc.gov/authorities/names/n80017653
1474,"Oberhuber , Konrad",,library of congress name authority file,"Oberhuber , Konrad",http://id.loc.gov/authorities/names/n82230596
1475,"Osten, Gert von der",,library of congress name authority file,"Osten, Gert von der",http://id.loc.gov/authorities/names/n83180998
1477,"Pariset, François-Georges",,library of congress name authority file,"Pariset, François-Georges",http://id.loc.gov/authorities/names/n86802691
1478,"Parkhurst, Charles",,library of congress name authority file,"Parkhurst, Charles",http://id.loc.gov/authorities/names/nr88003003
1480,"Posner, Donald",,library of congress name authority file,"Posner, Donald",http://id.loc.gov/authorities/names/n50019806
1482,"Renger, Konrad",,library of congress name authority file,"Renger, Konrad",http://id.loc.gov/authorities/names/n83038849
1483,"Ring, Grete",,library of congress name authority file,"Ring, Grete",http://id.loc.gov/authorities/names/n80070652
1485,"Rosand, David",,library of congress name authority file,"Rosand, David",http://id.loc.gov/authorities/names/n80162416
1486,"Rose, Patricia",,library of congress name authority file,"Rose, Patricia",http://id.loc.gov/authorities/names/nb2011003124
1488,"Rosenberg, Pierre",,library of congress name authority file,"Rosenberg, Pierre",http://id.loc.gov/authorities/names/n79061307
1489,"Sandy, Stephen",,library of congress name authority file,"Sandy, Stephen",http://id.loc.gov/authorities/names/n80013508
1490,"Sauerländer, Willibald",,library of congress name authority file,"Sauerländer, Willibald",http://id.loc.gov/authorities/names/n85818585
1491,"Schade, Werner",,library of congress name authority file,"Schade, Werner",http://id.loc.gov/authorities/names/n80131755
1492,"Schama, Simon",,library of congress name authority file,"Schama, Simon",http://id.loc.gov/authorities/names/n50020394
1496,"Schwartz, Gary",,library of congress name authority file,"Schwartz, Gary",http://id.loc.gov/authorities/names/n79141401
1501,"Skutsch, Otto",,library of congress name authority file,"Skutsch, Otto",http://id.loc.gov/authorities/names/n83046115
1503,"Sloane, Joseph C.",,library of congress name authority file,"Sloane, Joseph C.",http://id.loc.gov/authorities/names/nr96010128
1505,"Smith, David R. (David Ross)",,library of congress name authority file,"Smith, David R. (David Ross)",http://id.loc.gov/authorities/names/n2005062721
1509,"Sterling, Charles",,library of congress name authority file,"Sterling, Charles",http://id.loc.gov/authorities/names/no90004746
1511,"Stighelen, Katlijne van der",,library of congress name authority file,"Stighelen, Katlijne van der",http://id.loc.gov/authorities/names/n88055688
1512,"Strauss, Walter L.",,library of congress name authority file,"Strauss, Walter L.",http://id.loc.gov/authorities/names/n80017931
1514,"Sutton, Peter C.",,library of congress name authority file,"Sutton, Peter C.",http://id.loc.gov/authorities/names/n80132821
1515,"Tennenbaum, Silvia",,library of congress name authority file,"Tennenbaum, Silvia",http://id.loc.gov/authorities/names/n81010920
1516,"Tharp, Twyla",,library of congress name authority file,"Tharp, Twyla",http://id.loc.gov/authorities/names/n81071740
1517,"Thaw, Eugene Victor",,library of congress name authority file,"Thaw, Eugene Victor",http://id.loc.gov/authorities/names/n86024890
1518,"Tietze, Andreas",,library of congress name authority file,"Tietze, Andreas",http://id.loc.gov/authorities/names/n50011837
1522,"Vergara, Lisa",,library of congress name authority file,"Vergara, Lisa",http://id.loc.gov/authorities/names/no94009250
1523,"Veronee-Verhaegen, Nicole",,library of congress name authority file,"Veronee-Verhaegen, Nicole",http://id.loc.gov/authorities/names/nr88010673
1524,"Vertikoff, Alexander",,library of congress name authority file,"Vertikoff, Alexander",http://id.loc.gov/authorities/names/n96041050
