INFO 2019-08-22 15:25:02,073   Name: United States. Army , locID: n79063202, {'status': 'Created', 'id': 1387, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1387', 'warnings': []}
INFO 2019-08-22 15:25:03,237   Name: Musée des arts décoratifs (France), locID: n80046802, {'status': 'Created', 'id': 1388, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1388', 'warnings': []}
INFO 2019-08-22 15:25:04,225   Name: Union centrale des arts décoratifs (Paris, France), locID: n50056281, {'status': 'Created', 'id': 1389, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1389', 'warnings': []}
INFO 2019-08-22 15:25:08,227   Name: Exposition universelle de 1889 (Paris, France), locID: n83172132, {'status': 'Created', 'id': 1390, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1390', 'warnings': []}
INFO 2019-08-22 15:25:12,227   Name: International Congresses for Modern Architecture. Belgian Section , locID: nr2002021394, {'status': 'Created', 'id': 1391, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1391', 'warnings': []}
INFO 2019-08-22 15:25:16,106   Name: Team 10, locID: n91090111, {'status': 'Created', 'id': 1392, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1392', 'warnings': []}
INFO 2019-08-22 15:25:20,230   Name: 8 (Group of architects), locID: nr98003293, {'status': 'Created', 'id': 1393, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1393', 'warnings': []}
INFO 2019-08-22 15:25:24,208   Name: ASCORAL, locID: nr2002021314, {'status': 'Created', 'id': 1394, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1394', 'warnings': []}
INFO 2019-08-22 15:25:28,199   Name: British Council (Belgium), locID: nb2006022989, {'status': 'Created', 'id': 1395, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1395', 'warnings': []}
INFO 2019-08-22 15:25:32,158   Name: Modern Architectural Research Group, locID: no88001581, {'status': 'Created', 'id': 1396, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1396', 'warnings': []}
