INFO 2019-08-27 10:06:52,147   {'status': 'OK'},432,6167,Quasimodo, Salvatore
INFO 2019-08-27 10:07:04,768   {'status': 'OK'},433,6168,Rea, Domenico
INFO 2019-08-27 10:07:20,154   {'status': 'OK'},438,6169,Brehme, Hugo
INFO 2019-08-27 10:07:36,175   {'status': 'OK'},446,6170,Burnet, John
INFO 2019-08-27 10:07:52,203   {'status': 'OK'},453,6171,Hassall, John
INFO 2019-08-27 10:08:06,147   {'status': 'OK'},455,6172,Murray, David
INFO 2019-08-27 10:08:20,146   {'status': 'OK'},457,6173,Pye, John
INFO 2019-08-27 10:08:34,203   {'status': 'OK'},459,6174,Wild, Charles
INFO 2019-08-27 10:08:48,230   {'status': 'OK'},461,6175,Britton, John
INFO 2019-08-27 10:09:00,772   {'status': 'OK'},480,6176,Bodley, G.F. (George Frederick)
INFO 2019-08-27 10:09:14,242   {'status': 'OK'},484,6177,Jones, Owen
INFO 2019-08-27 10:09:28,250   {'status': 'OK'},490,6178,Wyatt, James
INFO 2019-08-27 10:09:42,141   {'status': 'OK'},498,6179,Cecconcelli, Pietro
INFO 2019-08-27 10:09:56,210   {'status': 'OK'},509,6180,Thomas, Geraldine
INFO 2019-08-27 10:10:08,829   {'status': 'OK'},524,6181,Garnier, Charles
INFO 2019-08-27 10:10:22,033   {'status': 'OK'},538,6182,Pelcoq, Jules
INFO 2019-08-27 10:10:38,061   {'status': 'OK'},556,6183,Dupréel, J. D. B.
INFO 2019-08-27 10:10:50,534   {'status': 'OK'},558,6184,Garreau, Louis
INFO 2019-08-27 10:11:03,068   {'status': 'OK'},571,6185,Mathieu, Jean
INFO 2019-08-27 10:11:15,539   {'status': 'OK'},580,6186,Perrier, Louis
INFO 2019-08-27 10:11:27,994   {'status': 'OK'},584,6187,Pleé, François
INFO 2019-08-27 10:11:40,520   {'status': 'OK'},593,6188,Weerts, Jean-Joseph, 1846-1927
INFO 2019-08-27 10:11:53,010   {'status': 'OK'},595,6189,Bouilhet, Henri
INFO 2019-08-27 10:12:05,543   {'status': 'OK'},597,6190,Christofle, Paul
INFO 2019-08-27 10:12:18,239   {'status': 'OK'},611,6191,Marx, Roger
INFO 2019-08-27 10:12:32,224   {'status': 'OK'},615,6192,Sandoz, G. Roger (Gustav Roger)
INFO 2019-08-27 10:12:48,277   {'status': 'OK'},622,6193,Hoste, Huib
INFO 2019-08-27 10:13:00,785   {'status': 'OK'},626,6194,Tyrwhitt, Jaqueline
INFO 2019-08-27 10:13:18,071   {'status': 'OK'},628,6195,Albini, Franco
INFO 2019-08-27 10:13:30,599   {'status': 'OK'},629,6196,Aujame, Roger
INFO 2019-08-27 10:13:44,097   {'status': 'OK'},630,6197,Bézard, Norbert
INFO 2019-08-27 10:14:00,100   {'status': 'OK'},631,6198,Bierbauer, Virgil
INFO 2019-08-27 10:14:16,126   {'status': 'OK'},632,6199,Bloc, André
INFO 2019-08-27 10:14:30,062   {'status': 'OK'},634,6200,Bontridder, Albert
INFO 2019-08-27 10:14:42,587   {'status': 'OK'},635,6201,Braem, Renaat
INFO 2019-08-27 10:14:56,164   {'status': 'OK'},639,6202,Candilis, Georges
INFO 2019-08-27 10:15:10,226   {'status': 'OK'},642,6203,Collins, James
INFO 2019-08-27 10:15:24,179   {'status': 'OK'},646,6204,Ecochard, Michel
INFO 2019-08-27 10:15:40,159   {'status': 'OK'},652,6205,Faure, Jean-Pierre
INFO 2019-08-27 10:15:56,166   {'status': 'OK'},655,6206,Gardella, Ignazio
INFO 2019-08-27 10:16:10,209   {'status': 'OK'},667,6207,Hoffmann, Hubert
INFO 2019-08-27 10:16:24,179   {'status': 'OK'},670,6208,Howell, Jill
INFO 2019-08-27 10:16:38,184   {'status': 'OK'},671,6209,Howell, William
INFO 2019-08-27 10:16:54,239   {'status': 'OK'},673,6210,Kalivoda, František
INFO 2019-08-27 10:17:08,043   {'status': 'OK'},676,6211,Lasdun, Denys
INFO 2019-08-27 10:17:22,037   {'status': 'OK'},682,6212,Lods, Marcel
INFO 2019-08-27 10:17:36,060   {'status': 'OK'},687,6213,Moser, Karl
INFO 2019-08-27 10:17:50,051   {'status': 'OK'},690,6214,Mühll, H. R. von der
INFO 2019-08-27 10:18:04,281   {'status': 'OK'},691,6215,Nicolas, J.
INFO 2019-08-27 10:18:18,163   {'status': 'OK'},697,6216,Pawek, Karl
INFO 2019-08-27 10:18:34,181   {'status': 'OK'},698,6217,Peressutti, Enrico
INFO 2019-08-27 10:18:54,032   {'status': 'OK'},704,6218,Rogers, Ernesto N.
INFO 2019-08-27 10:19:06,572   {'status': 'OK'},705,6219,Roth, Alfred
INFO 2019-08-27 10:19:19,039   {'status': 'OK'},708,6220,Schmeller, Alfred
INFO 2019-08-27 10:19:32,090   {'status': 'OK'},709,6221,Schmidt, Hans
INFO 2019-08-27 10:19:46,099   {'status': 'OK'},711,6222,Smithson, Alison Margaret
INFO 2019-08-27 10:19:58,587   {'status': 'OK'},712,6223,Smithson, Peter
INFO 2019-08-27 10:20:11,131   {'status': 'OK'},719,6224,Syrkus, Helena
INFO 2019-08-27 10:20:23,592   {'status': 'OK'},725,6225,Vos, Herman
INFO 2019-08-27 10:20:36,096   {'status': 'OK'},737,6226,Marini, Marino
INFO 2019-08-27 10:20:48,586   {'status': 'OK'},738,6227,Miró, Joan
INFO 2019-08-27 10:21:01,163   {'status': 'OK'},740,6228,Bell, Clive
INFO 2019-08-27 10:21:13,666   {'status': 'OK'},741,6229,Buquet, Alain
INFO 2019-08-27 10:21:26,136   {'status': 'OK'},743,6230,Moore, Henry
INFO 2019-08-27 10:21:40,173   {'status': 'OK'},754,6231,Hamilton, Richard
INFO 2019-08-27 10:22:00,065   {'status': 'OK'},763,6232,Delvaux, Paul
INFO 2019-08-27 10:22:14,159   {'status': 'OK'},765,6233,Glanville-Hicks, Peggy
INFO 2019-08-27 10:22:28,165   {'status': 'OK'},766,6234,Jones, Charles
INFO 2019-08-27 10:22:44,187   {'status': 'OK'},767,6235,Kelkel, Manfred
INFO 2019-08-27 10:22:58,102   {'status': 'OK'},768,6236,Lam, Wifredo
INFO 2019-08-27 10:23:12,166   {'status': 'OK'},775,6237,Sage, Kay
INFO 2019-08-27 10:23:26,187   {'status': 'OK'},778,6238,Waldberg, Patrick
INFO 2019-08-27 10:23:40,215   {'status': 'OK'},791,6239,Dieterle, Jean
INFO 2019-08-27 10:23:54,029   {'status': 'OK'},796,6240,Townley, Charles
INFO 2019-08-27 10:24:06,632   {'status': 'OK'},798,6241,Bromley, William
INFO 2019-08-27 10:24:19,108   {'status': 'OK'},807,6242,Howard, Henry
INFO 2019-08-27 10:24:31,619   {'status': 'OK'},811,6243,Scriven, Edward
INFO 2019-08-27 10:24:44,094   {'status': 'OK'},812,6244,Skelton, William
INFO 2019-08-27 10:24:56,585   {'status': 'OK'},816,6245,Brooks, James
INFO 2019-08-27 10:25:09,197   {'status': 'OK'},818,6246,Calas, Nicolas
INFO 2019-08-27 10:25:21,697   {'status': 'OK'},820,6247,Clarac-Sérou, Max
INFO 2019-08-27 10:25:34,246   {'status': 'OK'},821,6248,Craven, John
INFO 2019-08-27 10:25:50,100   {'status': 'OK'},827,6249,Geist, Sidney
INFO 2019-08-27 10:26:06,058   {'status': 'OK'},832,6250,Jean, Marcel
INFO 2019-08-27 10:26:22,063   {'status': 'OK'},834,6251,Kober, Jacques
INFO 2019-08-27 10:26:38,066   {'status': 'OK'},838,6252,Martins, Maria
INFO 2019-08-27 10:26:52,090   {'status': 'OK'},841,6253,Nadeau, Maurice
INFO 2019-08-27 10:27:04,626   {'status': 'OK'},844,6254,Renne, René
INFO 2019-08-27 10:27:17,076   {'status': 'OK'},847,6255,Serbanne, Claude
INFO 2019-08-27 10:27:29,509   {'status': 'OK'},849,6256,Tapié, Michel
INFO 2019-08-27 10:27:42,046   {'status': 'OK'},850,6257,Tyler, Parker
INFO 2019-08-27 10:27:54,494   {'status': 'OK'},851,6258,Wolff, Theodore F.
INFO 2019-08-27 10:28:08,100   {'status': 'OK'},856,6259,Greco
INFO 2019-08-27 10:28:20,572   {'status': 'OK'},858,6260,Duits, Charles
INFO 2019-08-27 10:28:33,040   {'status': 'OK'},859,6261,Abbott , Jere
INFO 2019-08-27 10:28:45,533   {'status': 'OK'},860,6262,Ames, Winslow
INFO 2019-08-27 10:28:58,080   {'status': 'OK'},869,6263,Perkins, F. Mason
INFO 2019-08-27 10:29:12,058   {'status': 'OK'},873,6264,Benson, Robert
INFO 2019-08-27 10:29:24,539   {'status': 'OK'},875,6265,Constable, John
INFO 2019-08-27 10:29:38,062   {'status': 'OK'},876,6266,David, Gérard
INFO 2019-08-27 10:29:52,084   {'status': 'OK'},881,6267,Gulbenkian, Calouste Sarkis
INFO 2019-08-27 10:30:06,078   {'status': 'OK'},896,6268,Raphael
INFO 2019-08-27 10:30:20,115   {'status': 'OK'},904,6269,Velázquez, Diego
INFO 2019-08-27 10:30:34,106   {'status': 'OK'},919,6270,Breer, Robert
INFO 2019-08-27 10:30:48,072   {'status': 'OK'},921,6271,Childs, Lucinda
INFO 2019-08-27 10:31:02,669   {'status': 'OK'},922,6272,Cross, Lowell M.
INFO 2019-08-27 10:31:16,208   {'status': 'OK'},927,6273,Kender, Jean
INFO 2019-08-27 10:31:30,366   {'status': 'OK'},929,6274,Martin, Julie
INFO 2019-08-27 10:31:46,042   {'status': 'OK'},932,6275,Nakaya, Fujiko
INFO 2019-08-27 10:32:00,055   {'status': 'OK'},934,6276,Paxton, Steve
INFO 2019-08-27 10:32:14,031   {'status': 'OK'},935,6277,Pearce, John
INFO 2019-08-27 10:32:28,059   {'status': 'OK'},938,6082,Shunk, Harry
INFO 2019-08-27 10:32:42,183   {'status': 'OK'},941,6278,Waldhauer, Fred D.
INFO 2019-08-27 10:32:58,164   {'status': 'OK'},947,6279,Brüne, Heinrich
INFO 2019-08-27 10:33:10,659   {'status': 'OK'},948,6280,Coray, H. (Hans)
INFO 2019-08-27 10:33:28,091   {'status': 'OK'},952,6281,Joedicke, Jürgen
INFO 2019-08-27 10:33:42,133   {'status': 'OK'},954,6282,Kornmann, Egon
INFO 2019-08-27 10:33:58,227   {'status': 'OK'},957,6283,Meyer, Peter
INFO 2019-08-27 10:34:12,322   {'status': 'OK'},959,6284,Neutra, Dione
INFO 2019-08-27 10:34:26,404   {'status': 'OK'},961,6285,Posener, Julius
INFO 2019-08-27 10:34:40,248   {'status': 'OK'},963,6286,Schlemmer, Tut
INFO 2019-08-27 10:34:54,338   {'status': 'OK'},964,6287,Schlotter, Eberhard
INFO 2019-08-27 10:35:08,033   {'status': 'OK'},965,6288,Schmidt, Georg
INFO 2019-08-27 10:35:22,131   {'status': 'OK'},970,6289,Wagenfeld, Wilhelm
INFO 2019-08-27 10:35:36,160   {'status': 'OK'},973,6290,Frank, Suzanne S. (Suzanne Shulof)
INFO 2019-08-27 10:35:50,330   {'status': 'OK'},977,6291,Westmacott, Richard, Sir
INFO 2019-08-27 10:36:02,869   {'status': 'OK'},981,6292,Hawkins, Edward
INFO 2019-08-27 10:36:16,371   {'status': 'OK'},982,6293,Hesketh, Robert, architect
INFO 2019-08-27 10:36:32,326   {'status': 'OK'},986,6294,Duncan, Ronnie
INFO 2019-08-27 10:36:48,038   {'status': 'OK'},987,6295,Gardner, Ian
INFO 2019-08-27 10:37:00,587   {'status': 'OK'},988,6296,Murray, Graeme
INFO 2019-08-27 10:37:14,257   {'status': 'OK'},989,6297,Torok, Karl
INFO 2019-08-27 10:37:28,079   {'status': 'OK'},990,6298,Fitchen, John
INFO 2019-08-27 10:37:42,178   {'status': 'OK'},991,6299,Bucher, François
INFO 2019-08-27 10:37:54,639   {'status': 'OK'},993,6300,Harvey, John
INFO 2019-08-27 10:38:07,134   {'status': 'OK'},994,6301,Heyman, Jacques
INFO 2019-08-27 10:38:19,603   {'status': 'OK'},996,6302,Macaulay, David
INFO 2019-08-27 10:38:32,088   {'status': 'OK'},997,6303,McKee, Harley J.
INFO 2019-08-27 10:38:44,539   {'status': 'OK'},998,6304,Placzek, Adolf K.
INFO 2019-08-27 10:38:56,994   {'status': 'OK'},999,6305,Szarmach, Paul E.
INFO 2019-08-27 10:39:09,500   {'status': 'OK'},1001,6306,Wachs, William Carl
INFO 2019-08-27 10:39:22,011   {'status': 'OK'},1004,6307,Ford, Charles Henri
INFO 2019-08-27 10:39:34,494   {'status': 'OK'},1008,6308,Bowles, Paul
INFO 2019-08-27 10:39:46,949   {'status': 'OK'},1009,6309,Burk, Ronnie
INFO 2019-08-27 10:39:59,431   {'status': 'OK'},1012,6310,Cohen, Ira
INFO 2019-08-27 10:40:12,086   {'status': 'OK'},1016,6311,Friar, Kimon
INFO 2019-08-27 10:40:24,551   {'status': 'OK'},1019,6312,Joans, Ted
INFO 2019-08-27 10:40:37,050   {'status': 'OK'},1020,6313,Kostakis, Peter
INFO 2019-08-27 10:40:49,562   {'status': 'OK'},1021,6314,Malanga, Gerard
INFO 2019-08-27 10:41:02,140   {'status': 'OK'},1022,6315,Oisteanu, Valery
INFO 2019-08-27 10:41:14,603   {'status': 'OK'},1023,6316,Tillman, Lynne
INFO 2019-08-27 10:41:27,098   {'status': 'OK'},1024,6317,Fredericks, Claude
INFO 2019-08-27 10:41:42,133   {'status': 'OK'},1025,6318,Merrill, James
INFO 2019-08-27 10:41:58,347   {'status': 'OK'},1029,6319,Berryman, John
INFO 2019-08-27 10:42:12,037   {'status': 'OK'},1030,6320,Giroux, Robert
INFO 2019-08-27 10:42:26,101   {'status': 'OK'},1031,6321,Hofer, Evelyn
